"lat":1.33064,"lng":103.923555,"gym_name":"Clock Tower at Bedok North Street"
"lat":1.329625,"lng":103.924425,"gym_name":"Bloom Leisure Park"
"lat":1.329137,"lng":103.923633,"gym_name":"Bethesda Cathedral"
"lat":1.328499,"lng":103.918875,"gym_name":"Chai Chee United Temple"
"lat":1.32911,"lng":103.915671,"gym_name":"Penguin Swings"
"lat":1.326662,"lng":103.929153,"gym_name":"Garden Hill Park Signage"
"lat":1.326919,"lng":103.931184,"gym_name":"Heartbeat@Bedok"
"lat":1.326422,"lng":103.926715,"gym_name":"Ansar"
"lat":1.328999,"lng":103.910488,"gym_name":""
"lat":1.32323,"lng":103.907352,"gym_name":"Masjid Al-Abdul Razak"
"lat":1.3219,"lng":103.913896,"gym_name":"龍德佛院"
"lat":1.313543,"lng":103.93088,"gym_name":"Siglap South Community Centre"
"lat":1.324352,"lng":103.930123,"gym_name":"Family @ Bedok Mall"
"lat":1.324036,"lng":103.930061,"gym_name":"Bedok MRT Station"
"lat":1.324643,"lng":103.93,"gym_name":"Round Color Lights"
"lat":1.319392,"lng":103.927783,"gym_name":"Aida Park"
"lat":1.320857,"lng":103.924466,"gym_name":"Siglap Linear Park"
"lat":1.322724,"lng":103.924335,"gym_name":"Opera Estate Marker"
"lat":1.315006,"lng":103.918809,"gym_name":"Ean Keng Si Buddhist Temple"
"lat":1.312358,"lng":103.905603,"gym_name":"Koon Seng Temple"
"lat":1.317819,"lng":103.862257,"gym_name":"Kallang Community Club"
"lat":1.321275,"lng":103.864618,"gym_name":"8 River Suites Fountain"
"lat":1.320269,"lng":103.861038,"gym_name":"Square Pavilion"
"lat":1.320058,"lng":103.860669,"gym_name":"Pavilion and Platform of the Open Air Auditorium"
"lat":1.325523,"lng":103.861784,"gym_name":"St. Wilfrid Sports Complex"
"lat":1.323086,"lng":103.861623,"gym_name":"Laughing Sun Mural"
"lat":1.323506,"lng":103.865488,"gym_name":""
"lat":1.321953,"lng":103.867609,"gym_name":""
"lat":1.326305,"lng":103.862955,"gym_name":"St Michael's Church"
"lat":1.331679,"lng":103.866634,"gym_name":"Sri Sivadurga Temple"
"lat":1.333198,"lng":103.866916,"gym_name":""
"lat":1.326781,"lng":103.863003,"gym_name":"Sri Lankaramaya Temple"
"lat":1.329726,"lng":103.865829,"gym_name":"St Andrews Plaque"
"lat":1.327881,"lng":103.859744,"gym_name":""
"lat":1.332957,"lng":103.869034,"gym_name":""
"lat":1.331459,"lng":103.868946,"gym_name":"Potong Pasir MRT"
"lat":1.32645,"lng":103.868752,"gym_name":"Fountain"
"lat":1.329281,"lng":103.868971,"gym_name":""
"lat":1.324063,"lng":103.869749,"gym_name":"Kolam Ayer Community Club"
"lat":1.321454,"lng":103.869555,"gym_name":"Community Amphitheatre"
"lat":1.324166,"lng":103.868373,"gym_name":"Hans Christian Andersen Play Gate"
"lat":1.326927,"lng":103.862812,"gym_name":"Buddha Statue"
"lat":1.332702,"lng":103.878418,"gym_name":"The Spring"
"lat":1.313859,"lng":103.86988,"gym_name":"Upper Boon Keng Blk 12 BBQ Pit"
"lat":1.3255,"lng":103.892415,"gym_name":"Guardian Stone Lion"
"lat":1.331799,"lng":103.914453,"gym_name":"Eunos Petal Garden"
"lat":1.332404,"lng":103.915374,"gym_name":"Eunos Community Centre"
"lat":1.333171,"lng":103.916126,"gym_name":"Bedok Church of Christ"
"lat":1.334737,"lng":103.904498,"gym_name":"Fountains Of Technology"
"lat":1.331374,"lng":103.908016,"gym_name":"Eunos Temple"
"lat":1.334166,"lng":103.909161,"gym_name":"Sunflower Mural"
"lat":1.332185,"lng":103.912424,"gym_name":"Eunos Rainbow"
"lat":1.334342,"lng":103.912732,"gym_name":"Senior Citizen Fitness Corner"
"lat":1.335279,"lng":103.896638,"gym_name":"ComfortDelGro Centre at Ubi Avenue"
"lat":1.333423,"lng":103.892134,"gym_name":"UB.One Fountain"
"lat":1.33279,"lng":103.899618,"gym_name":"貯正宮"
"lat":1.337235,"lng":103.922327,"gym_name":"Belvia Tree-Like Sculpture"
"lat":1.338592,"lng":103.923098,"gym_name":"Bedok Reservoir Park Welcome Signage"
"lat":1.338646,"lng":103.922325,"gym_name":"Bedok Reservoir Park Entrance Signage"
"lat":1.337956,"lng":103.91836,"gym_name":"Big Bedok Clock"
"lat":1.337954,"lng":103.919052,"gym_name":"Shelter @ 701"
"lat":1.335138,"lng":103.925127,"gym_name":"Bedok Town Park"
"lat":1.332075,"lng":103.925073,"gym_name":"Ampitheatre Bedok North St 3"
"lat":1.332946,"lng":103.927369,"gym_name":"Kaki Bukit Neighbourhood Park"
"lat":1.333796,"lng":103.928828,"gym_name":"Residential Clock Arch"
"lat":1.336925,"lng":103.926187,"gym_name":""
"lat":1.336771,"lng":103.913801,"gym_name":"Masjid Alkaff Kampung Melayu"
"lat":1.33579,"lng":103.912236,"gym_name":""
"lat":1.336851,"lng":103.9062,"gym_name":"Kaki Bukit Recreation Centre"
"lat":1.324711,"lng":103.924104,"gym_name":"Playground"
"lat":1.306298,"lng":103.890021,"gym_name":"Geylang Park Connector"
